,time,longitudeStdDev,numSatsMulti,groupMetadataID,numSatsTracked,latitudeStdDev,differentialAge,longitude,solType,solutionAge,solStatus,latitude,numSatsInSolution
0,1686166973037925290,0.014306955,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.012862651,1,-82.1056853261628,NARROW_INT,0,SOL_COMPUTED,39.36218164870144,15
1,1686167025037635983,0.01195603,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,18,0.011454556,1,-82.10562735085851,NARROW_INT,0,SOL_COMPUTED,39.36259994671539,17
2,1686166887036368196,1.4606239,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,10,1.6205518,2,-82.08961157732388,PSRDIFF,0,SOL_COMPUTED,39.35233121037466,9
3,1686166925041747441,0.014332041,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.013305644,1,-82.09781201195116,NARROW_INT,0,SOL_COMPUTED,39.35659872244292,11
0,1686166960034611378,0.013501951,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.012251574,1,-82.10474507483875,NARROW_INT,0,SOL_COMPUTED,39.36089516770983,13
1,1686166978037428073,0.013223774,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,18,0.01194472,1,-82.10574613529293,NARROW_INT,0,SOL_COMPUTED,39.36222669644753,16
0,1686166950034428905,0.014095337,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.01329854,1,-82.10338765128922,NARROW_INT,0,SOL_COMPUTED,39.35960261335931,13
1,1686166955041647873,0.012854394,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.011687663,1,-82.10420508808365,NARROW_INT,0,SOL_COMPUTED,39.360188513536905,13
2,1686166958037512304,0.0127440635,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.011549845,1,-82.10456074346327,NARROW_INT,0,SOL_COMPUTED,39.36060024892914,13
3,1686166895035861439,0.014090271,10,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.0122824535,1,-82.09106517775928,NARROW_INT,0,SOL_COMPUTED,39.35308511875654,11
4,1686166948040371858,0.015383465,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.015997283,1,-82.1029993218206,NARROW_INT,0,SOL_COMPUTED,39.35936966286023,13
5,1686166912039850204,0.015946979,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.012860621,1,-82.0947263008537,NARROW_INT,0,SOL_COMPUTED,39.35499013780323,12
0,1686166947042823214,0.015677702,10,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.018432897,1,-82.10279682627446,NARROW_INT,0,SOL_COMPUTED,39.35925302217988,10
1,1686166942044144876,0.0140725635,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012588649,1,-82.10171568484795,NARROW_INT,0,SOL_COMPUTED,39.35866605966749,13
0,1686166949038857800,0.014376671,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.013755398,1,-82.10319809222935,NARROW_INT,0,SOL_COMPUTED,39.35948732144749,13
1,1686166991037568719,0.013057711,15,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.012129688,1,-82.10562948203466,NARROW_INT,0,SOL_COMPUTED,39.36259681511243,15
2,1686166928038971118,0.015757293,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.014681313,1,-82.09852660047257,NARROW_INT,0,SOL_COMPUTED,39.35697055659276,11
0,1686166938036891428,0.013198062,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012413172,1,-82.10083127013246,NARROW_INT,0,SOL_COMPUTED,39.358173937412666,12
1,1686166987143488563,0.015148631,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.014187682,2,-82.10569565910768,NARROW_INT,0,SOL_COMPUTED,39.36252693216123,14
